order,id,date,time,title,url,visitCount,typedCount,transition
0,851,6/6/2024,18:57:48,AI Tools GA6 - Be10X,https://be10x.in/ai-tools-workshop-ga6/?utm_source=google&utm_medium=cpc&utm_campaign=|20690775509&utm_term=&utm_content=|156432663762&utm_id=20690775509&gclid=CjwKCAjwvIWzBhAlEiwAHHWgvXYE1rkqAIeoD1luzcWlp6u_HRE-a85mjjHsgn2MNmgalADlcWJTyhoCqaIQAvD_BwE,1,0,link
1,850,6/6/2024,18:57:45,≡ Queen Letizia's Best Fashion Moments 》 Her Beauty,https://herbeauty.co/fashion/queen-letizia-s-best-fashion-moments/,1,0,link
2,844,6/6/2024,18:57:40,≡ Her Beauty 》 From Health and Parenting tips to Latest Fashion Trends and Entertainment news,https://herbeauty.co/,2,0,link
3,849,6/6/2024,18:57:27,MEN'S EXTRA STRETCH DRY-EX FULL-ZIP HOODIE | UNIQLO IN,https://www.uniqlo.com/in/en/products/E465203-000?colorCode=COL08&sizeCode=SMA003&utm_source=Criteo&utm_medium=Display&utm_campaign=Uniqlo_Linen_April_2024&cto_pld=EIRXsL84AQCvrVzhHD9anA,1,0,link
4,846,6/6/2024,18:57:04,≡ Therapist Says These Are Only 2 Ways To Know If You're With The Right Person 》 Her Beauty,https://herbeauty.co/relationships/therapist-says-these-are-only-2-ways-to-know-if-you-re-with-the-right-person/,1,0,link
5,844,6/6/2024,18:56:57,≡ Her Beauty 》 From Health and Parenting tips to Latest Fashion Trends and Entertainment news,https://herbeauty.co/,2,0,link
6,843,6/6/2024,18:56:54,herbeauty.co - Google Search,https://www.google.com/search?q=herbeauty.co&rlz=1C1ONGR_enIN981IN981&oq=herbea&gs_lcrp=EgZjaHJvbWUqBwgDEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyDQgCEC4YxwEY0QMYgAQyBwgDEAAYgAQyBggEEEUYPDIGCAUQRRg8MgYIBhBFGDwyBggHEEUYPNIBCDUyNjJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
7,843,6/6/2024,18:56:53,herbeauty.co - Google Search,https://www.google.com/search?q=herbeauty.co&rlz=1C1ONGR_enIN981IN981&oq=herbea&gs_lcrp=EgZjaHJvbWUqBwgDEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyDQgCEC4YxwEY0QMYgAQyBwgDEAAYgAQyBggEEEUYPDIGCAUQRRg8MgYIBhBFGDwyBggHEEUYPNIBCDUyNjJqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
8,842,6/6/2024,18:55:35,FREE Access! 100+ Training Videos to Start Your Online Business!,https://www.supersalesmachine.com/,2,0,typed
9,842,6/6/2024,18:55:35,FREE Access! 100+ Training Videos to Start Your Online Business!,https://www.supersalesmachine.com/,2,0,typed
10,840,6/6/2024,18:55:19,supersales machine - Google Search,https://www.google.com/search?q=supersales+machine&rlz=1C1ONGR_enIN981IN981&oq=supersales+mach&gs_lcrp=EgZjaHJvbWUqCQgBECEYChigATIGCAAQRRg5MgkIARAhGAoYoAHSAQg3MzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,2,0,link
11,840,6/6/2024,18:55:18,supersales machine - Google Search,https://www.google.com/search?q=supersales+machine&rlz=1C1ONGR_enIN981IN981&oq=supersales+mach&gs_lcrp=EgZjaHJvbWUqCQgBECEYChigATIGCAAQRRg5MgkIARAhGAoYoAHSAQg3MzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,2,0,generated
12,839,6/6/2024,17:36:42,Shop Premium Men's Footwear Collections | Language Shoes,https://languageshoes.com/product-category/men/footwear/?filter_specials=new-arrivals&fbclid=IwZXh0bgNhZW0CMTAAAR25uJOcdGWP-YgakFfE87L2VeYTlrM2tnPYdiz0mx07P5FNDt_jHiWjaBg_aem_ARGSufm4-oQE1GV2hDcH6_KAcCvhJPq9hxpxWfcirTpLpU_rh5tNqNKwNQB5SOI6jtCYayhtMr_YSD3r_WTQWSZ9,1,0,link
13,837,6/6/2024,17:36:14,Rare Rabbit Mens Sauron Pro White Premium Milled Leather Lace Up Low T,https://thehouseofrare.com/products/sauron-pro-mens-sneaker-white?fbclid=IwZXh0bgNhZW0CMTAAAR0R3f-Z2mNdosg-5_e17sNkRclKTiM8sCJMbR1yVlSybyCF2EFgJzDfFLc_aem_ARGMtm__xdjltSeUxW5Lp6yrgzK3J15QKqsLywzFTg-Gdh2Ty5Bo8vyGetFQdrnfwzvddC4CqoPK2RtRgpXUH1HY,1,0,link
14,835,6/6/2024,17:36:06,Become Our Franchises – Bersache,https://bersache.com/pages/become-our-franchise?fbclid=IwZXh0bgNhZW0CMTAAAR1BgdVhz1JEE_qX0tPNVeCq9CiaxtRkmhONyPUxQAJS9OY11BsNDAiHHOk_aem_ARGI2EQzM2Ky83sxwrFVUoUXkNBDSQgfsmQkCPdpsT8TRrVkq-tGHv2JhIi6uW504SDoWHA7RVeQ-8RPwFx6t4ju,1,0,link
15,833,6/6/2024,17:36:03,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes For Men (",https://bersache.com/products/bersache-premium-sports-gym-trending-stylish-running-shoes-for-men-9165-black?utm_content=Facebook_UA&utm_source=facebook&variant=45288202862813&fbclid=IwZXh0bgNhZW0CMTAAAR0mSBVFYKJoRfiH82tctfrxMkMw31jqfhin_aG7n3NBbBikO96oFO_HfF8_aem_ARE2dF3WTdc9-K1iT4ZxbhHCIaW6b6vI_TJi_4I89cHOWgs20YYiViboFQvz9T0fTMu87pgSxVgTohK5mPjlQ3OS,1,0,link
